Stop,Lines
Kołłątaja,2 3 10 11
Tor Kolarski,9 10
Osiedle Akademickie,8 10
Dobromiry,6 11
Sikorskiego,8 10
Zajezdnia Golęcin,6
Plac Szarych Szeregów,1 4 5
Filharmonia,1 4 6
Stocznia Remontowa,11
Wawrzyniaka,5 7 9
Felczaka,1
Celna,2 7 8
Plac Żołnierza Polskiego,1 2 3 4 6 10
Żołnierska,5 7
Dubois,5 6 11
Strzałowska,6
Wszystkich Świętych,3 10
Antosiewicza,5 11
SKM Port Centralny,2 7 8
Plac Kościuszki,4 7 8 9 10
Szafera,1 3
Rondo Olszewskiego,1 3 9 10
Basen Górniczy,2 7 8
Dworzec Niebuszewo,2 11
Łękno,1 9
Wojciechowskiego,3 10
Matejki,5 11
Hangarowa,2 7 8
Potulicka,1 3 9
Szwoleżerów,4
Kwiatowa,8 10
Karłowicza,5 7
Tatrzańska,10
Parkowa,5 11
Lubeckiego,6 11
Plac Gałczyńskiego,9
Arkońska Szpital,3 10
Rayskiego,2 3 10 11
Stocznia Szczecińska,5 6
Plac Zawiszy,1 3 9
Krasińskiego,3 10
Turzyn,7 9
Turkusowa,2 7 8
Światowida,6
Niemcewicza,2 11
Piotra Skargi,1
Las Arkoński,3 10
Stadion Arkonii,3 10
Wernyhory,5 7
Gocław,6
Piastów,4 5
Narutowicza,4
Boguchwały,2 11
Bogumiły,1 9
Sowińskiego,1 3 9
Jaśminowa ZUS,2 7 8
Plac Rodła,1 2 3 4 5 6 10 11
Modra,5 7
Konopnickiej,5 7
Unii Lubelskiej,1 9
Bohaterów Warszawy,5 7 9
Plac Szyrockiego,4
Międzyparkowa,3 10
Parnica,2 7 8
Plac Witosa,2 3 10 11
Robotnicza,6
Ludowa,6 11
Lipowa,6
Wały Chrobrego,6
Lubomirskiego,2 3 10 11
Zajezdnia Pogodno,1 9
Goplana,9 10
Brama Portowa,1 2 3 6 7 8 9 10
Karola Miarki,8 10
Szkoła Salezjańska,8 10
Arena Szczecin,1 3
Poniatowskiego,5 7
Kasyno,9 10
Osiedle Zawadzkiego,1 3 5 7
Cmentarz Centralny,8 10
Bulwar Piastowski,6
Wyszyńskiego,2 6 7 8
Gumieńce,8 10
Merkatora,2 7 8
Niemierzyńska Technopark,3 10
Plac Grunwaldzki,1 4 5
Brzozowskiego,5 7
Ku Słońcu,8 10
Głębokie,9 10
Muzeum Techniki,3 10
Teatr Polski,6
Energetyków,2 7 8
