Stop1,Stop2
Antosiewicza,Dubois
Antosiewicza,Lubeckiego
Antosiewicza,Stocznia Szczecińska
Arena Szczecin,Rondo Olszewskiego
Arena Szczecin,Szafera
Arkońska Szpital,Tatrzańska
Arkońska Szpital,Wojciechowskiego
Arkońska Szpital,Wszystkich Świętych
Basen Górniczy,Hangarowa
Basen Górniczy,Merkatora
Boguchwały,Dworzec Niebuszewo
Boguchwały,Niemcewicza
Bogumiły,Piotra Skargi
Bogumiły,Plac Gałczyńskiego
Bogumiły,Łękno
Bohaterów Warszawy,Piastów
Bohaterów Warszawy,Turzyn
Bohaterów Warszawy,Wawrzyniaka
Brama Portowa,Plac Kościuszki
Brama Portowa,Plac Zawiszy
Brama Portowa,Plac Żołnierza Polskiego
Brama Portowa,Wyszyńskiego
Brzozowskiego,Konopnickiej
Brzozowskiego,Wernyhory
Bulwar Piastowski,Wały Chrobrego
Bulwar Piastowski,Wyszyńskiego
Celna,Energetyków
Celna,Wyszyńskiego
Cmentarz Centralny,Karola Miarki
Cmentarz Centralny,Osiedle Akademickie
Dobromiry,Lubeckiego
Dobromiry,Ludowa
Dobromiry,Stocznia Remontowa
Dubois,Antosiewicza
Dubois,Parkowa
Dubois,Stocznia Szczecińska
Dubois,Teatr Polski
Dworzec Niebuszewo,Boguchwały
Energetyków,Celna
Energetyków,SKM Port Centralny
Felczaka,Piotra Skargi
Felczaka,Plac Szarych Szeregów
Filharmonia,Plac Rodła
Filharmonia,Plac Żołnierza Polskiego
Gocław,Lipowa
Goplana,Kasyno
Goplana,Tor Kolarski
Gumieńce,Kwiatowa
Głębokie,Kasyno
Hangarowa,Basen Górniczy
Hangarowa,Jaśminowa ZUS
Jaśminowa ZUS,Hangarowa
Jaśminowa ZUS,Turkusowa
Karola Miarki,Cmentarz Centralny
Karola Miarki,Szkoła Salezjańska
Karłowicza,Poniatowskiego
Karłowicza,Wawrzyniaka
Kasyno,Goplana
Kasyno,Głębokie
Konopnickiej,Brzozowskiego
Konopnickiej,Poniatowskiego
Kołłątaja,Krasińskiego
Kołłątaja,Lubomirskiego
Kołłątaja,Niemcewicza
Krasińskiego,Kołłątaja
Krasińskiego,Muzeum Techniki
Ku Słońcu,Kwiatowa
Ku Słońcu,Szkoła Salezjańska
Kwiatowa,Gumieńce
Kwiatowa,Ku Słońcu
Las Arkoński,Stadion Arkonii
Las Arkoński,Wojciechowskiego
Lipowa,Gocław
Lipowa,Światowida
Lubeckiego,Antosiewicza
Lubeckiego,Dobromiry
Lubeckiego,Stocznia Szczecińska
Lubomirskiego,Kołłątaja
Lubomirskiego,Plac Witosa
Ludowa,Dobromiry
Ludowa,Robotnicza
Ludowa,Stocznia Remontowa
Matejki,Parkowa
Matejki,Plac Rodła
Merkatora,Basen Górniczy
Merkatora,Parnica
